sector_hours,utilization,capacity,load_factor
EBBUNWC_1200_1300_E,0,38,0.0
EBBUNWC_1300_1400_E,0,38,0.0
EBBUNWC_1400_1500_E,0,38,0.0
EBBUNWC_1500_1600_E,0,38,0.0
EBBUNWC_1600_1630_E,0,19,0.0
EBBUNWC_1730_1800_E,0,19,0.0
EBBUNWC_1800_1900_E,0,38,0.0
EBBUNWC_1900_2000_E,0,38,0.0
EBBUWHS_0620_0700_E,0,27,0.0
EBBUWHS_0700_0800_E,0,40,0.0
EBBUWHS_0800_0820_E,0,14,0.0
EBBUWHS_1630_1700_E,0,20,0.0
EBBUWHS_1700_1730_E,0,20,0.0
EBBUWLS_0530_0600_E,0,21,0.0
EBBUWLS_0600_0620_E,0,14,0.0
EBBUWLS_0620_0700_E,0,28,0.0
EBBUWLS_0700_0800_E,0,42,0.0
EBBUWLS_0800_0820_E,0,14,0.0
EBBUWLS_0820_0900_E,0,28,0.0
EBBUWLS_0900_1000_E,0,42,0.0
EBBUWLS_1000_1100_E,0,42,0.0
EBBUWLS_1100_1200_E,0,42,0.0
EBBUWLS_1200_1300_E,0,42,0.0
EBBUWLS_1300_1400_E,0,42,0.0
EBBUWLS_1400_1500_E,0,42,0.0
EBBUWLS_1500_1600_E,0,42,0.0
EBBUWLS_1600_1630_E,0,21,0.0
EBBUWLS_1630_1700_E,0,21,0.0
EBBUWLS_1700_1730_E,0,21,0.0
EBBUWLS_1730_1800_E,0,21,0.0
EBBUWLS_1800_1900_E,0,42,0.0
EBBUWLS_1900_2000_E,0,42,0.0
EBBUWSC_0000_0100_E,0,39,0.0
EBBUWSC_0100_0200_E,0,39,0.0
EBBUWSC_0200_0300_E,0,39,0.0
EBBUWSC_0300_0400_E,0,39,0.0
EBBUWSC_0400_0500_E,0,39,0.0
EBBUWSC_0500_0530_E,0,20,0.0
EBBUWSC_2000_2100_E,0,39,0.0
EBBUWSC_2100_2200_E,0,39,0.0
EBBUWSC_2200_2300_E,0,39,0.0
EBBUWSC_2300_2400_E,0,39,0.0
EDGGDLDN_0400_0500_E,0,32,0.0
EDGGDLDN_0500_0600_E,0,32,0.0
EDGGDLDN_0600_0700_E,0,32,0.0
EDGGDLDN_0700_0800_E,0,32,0.0
EDGGDLDN_0800_0900_E,0,32,0.0
EDGGDLDN_0900_1000_E,0,32,0.0
EDGGDLDN_1000_1100_E,0,32,0.0
EDGGDLDN_1100_1200_E,0,32,0.0
EDGGDLDN_1200_1300_E,0,32,0.0
EDGGDLDN_1300_1400_E,0,32,0.0
EDGGDLDN_1400_1500_E,0,32,0.0
EDGGDLDN_1500_1600_E,0,32,0.0
EDGGDLDN_1600_1700_E,0,32,0.0
EDGGDLDN_1700_1715_E,0,8,0.0
EDGGDLDS_0500_0600_E,0,35,0.0
EDGGDLDS_0600_0700_E,0,35,0.0
EDGGDLDS_0700_0800_E,0,35,0.0
EDGGDLDS_0800_0900_E,0,35,0.0
EDGGDLDS_0900_1000_E,0,35,0.0
EDGGDLDS_1000_1100_E,0,35,0.0
EDGGDLDS_1100_1200_E,0,35,0.0
EDGGDLDS_1200_1300_E,0,35,0.0
EDGGDLDS_1300_1400_E,0,35,0.0
EDGGDLDS_1400_1500_E,0,35,0.0
EDGGDLDS_1500_1600_E,0,35,0.0
EDGGDLDS_1600_1700_E,0,35,0.0
EDGGDLDS_1700_1715_E,0,9,0.0
EDGGDLSN_1715_1800_E,0,24,0.0
EDGGDLSN_1800_1900_E,0,32,0.0
EDGGDLSN_1900_2000_E,0,32,0.0
EDGGDLSN_2000_2030_E,0,16,0.0
EDGG1_0000_0100_E,0,34,0.0
EDGG1_0100_0200_E,0,34,0.0
EDGG1_0200_0300_E,0,34,0.0
EDGG1_0300_0400_E,0,34,0.0
EDGG1_2030_2100_E,0,17,0.0
EDGG1_2100_2200_E,0,34,0.0
EDGG1_2200_2300_E,0,34,0.0
EDGG1_2300_2400_E,0,34,0.0
EDGGBAD_0430_0500_E,0,19,0.0
EDGGBAD_0700_0800_E,0,38,0.0
EDGGBAD_0800_0900_E,0,38,0.0
EDGGBAD_0900_1000_E,0,38,0.0
EDGGBAD_1300_1400_E,0,38,0.0
EDGGBAD_1400_1500_E,0,38,0.0
EDGGBAD_1500_1530_E,0,19,0.0
EDGGBAD_1530_1600_E,0,19,0.0
EDGGBAD_1600_1700_E,0,38,0.0
EDGGBAD_1700_1800_E,0,38,0.0
EDGGBAD_1800_1900_E,0,38,0.0
EDGGBAD_1900_2000_E,0,38,0.0
EDGGBALU_0400_0430_E,0,20,0.0
EDGGBALU_0500_0600_E,0,40,0.0
EDGGBALU_0600_0700_E,0,40,0.0
